Headline,News,Sentiment
Oil Prices Slide As Saudi Arabia Confirms Another Export Boost.html,"Saudi Arabia is not backing down from the oil price war for market share, pledging another increase in its crude oil exports starting in May, despite a growing global glut amid crashing demand. “[T]he Kingdom intends to increase its crude oil exports, starting from May, by about 600 thousand barrels per day, bringing the total of Saudi petroleum exports to 10.6 million barrels per day,” an official at the Saudi Arabian Energy Ministry said on Monday, as carried by the official Saudi Press Agency. “This increase came as a result of displacing crude with natural gas from the Al-Fadhili gas plant, as a fuel for generating electricity, and from the decrease in local demand for petroleum products due to the decrease in transportation from the precautionary measures in place to limit the coronavirus outbreak,” said Saudi Arabia, OPEC’s top producer and the world’s top oil exporter, which continues to signal an aggressive supply surge amid profoundly depressed global demand.

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


 Earlier this month, the Kingdom said it was intent on unleashing growing crude oil volumes on the market, aiming to significantly boost its crude oil exports to a record-breaking more than 10 million bpd in May.  The Saudis, who launched an all-out price war for market share with Russia after Moscow refused to back deeper cuts, will not only boost April exports from the current 7 million bpd, but it will also grow exports in May by another 250,000 bpd from April. Now supply is expected at 10.6 million bpd starting in May, as per the latest Saudi statement.  At the end of last week, Saudi Arabia denied reports that it was in contact with Russia about potential talks to reach a deal to influence oil prices, which continued to plummet on Monday, with WTI Crude plunging by 5.49 percent to $20.33 at 7:56 a.m. EDT. According to analysts, no deal can save the market right now as demand destruction could reach 20 million bpd or more in the coming weeks.",pos 
SP Cuts Oil Nations Ratings.html,"Several oil-producing nations woke up to lower credit ratings from S&P amid the latest oil price rout, Reuters reports, listing Oman, Nigeria, Mexico, Angola, and Ecuador among those downgraded and noting that Saudi Arabia and Russia escaped the downgrades. Oil prices have fallen by more than half since the start of the year, with the drop particularly steep after March 6 when OPEC+ failed to agree on deeper production cuts. In retaliation for Russia’s unwillingness to cut more production, Saudi Arabia said it would increase its oil output to 12.3 million bpd and boost production capacity to 13 million bpd. Russia, meanwhile, has stated it could live with oil at $25 for a decade if need be. The country’s budget for this year plans on an oil price of a little over $42 for the Urals blend, but it has liquid assets worth more than $150 billion in its sovereign wealth fund alone. It also has other financial reserves, bringing the total to $570 billion, a little more than what Saudi Arabia has as reserves. These reserves may be why S&P spared the two biggest OPEC+ producers from a credit rating downgrade.

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


 Moody’s earlier this week downgraded its projection for Russia’s GDP, however, to 0.5 percent from 1.5 percent because of the oil demand slump and the weak purchasing power of Russian households. These unfavorable conditions in Russia, however, is nothing compared to the situation in the more oil-dependent countries. Nigeria’s credit rating, for instance, slid to B-, which is even deeper into junk territory than the previous B.  Mexico moved closer to that dreaded junk territory, to BBB. Angola and Ecuador, according to S&P, are close to the dangerous area of default, resulting in a downgrade to CCC. “We have lowered the ratings or assigned a negative outlook on some sovereigns because of their heightened risk to manage the fiscal and external shock resulting from lower (oil) prices in addition to the blow to economic growth as a result of the pandemic,” the ratings agency said.",pos 
Is This The Beginning Of The End For Texas Oil.html,"Widespread misery was evident in the Dallas Fed’s latest survey, which included responses from 161 energy firms and took place from March 11-19. The quarterly survey offers a window into not just the economic health of the industry, but also a look into the psyche of many oil executives in Texas. The numbers were stunning. The broad business activity index, which measures activity in the energy industry, plunged in the first quarter, dropping to a -50.9 reading, down from -4.9 in the fourth quarter. More specific indices reveal similar numbers. For instance, the Dallas Fed’s index on capex fell off a cliff, declining from 9.1 in the fourth quarter to -49.0 in the first three months of the year, a reflection of the severe cuts to spending budgets. In a rather revealing slide from the Dallas Fed survey, the average price that a driller needs to simply cover operating expenses (let alone earn a return) ranged from $23 in the Eagle Ford to $36 in “other” shale basins. In other words, with WTI currently trading below $25 per barrel, the “average” shale driller is not even covering the cost of keeping shale wells online.   Related: World’s Largest Oil Trader Says Demand Could Plummet By 20 Million Bpd Those are just the costs for operating. Breakevens to drill new wells are roughly double those levels, with average breakevens for Permian wells at $46. But even that figure only includes the cost of drilling a new well, and excludes other costs, such as debt servicing, overhead, and other corporate costs. “At $40 per barrel, you’re in the hole; at $30, it is hard to even keep producing existing wells. Nothing can be drilled at $30 per barrel,” one oil executive said in the Dallas Fed survey.  That does not mean that there will be an immediate wave of shut-ins. Companies keep operations going for a variety of reasons – there are costs to starting up and shutting down, the reservoir can be damaged in the process, and certain terms of land leases or debt obligations incentivize drilling even when it may not make sense. 

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


 But the figures do reveal that the industry is in a state of profound crisis and a lot of wells will shut down if current prices persist.   More than half of oil executives said that their headcount could drop this year, with nearly a quarter saying payrolls would “decrease significantly.”  Related: Oil Climbs As U.S. Pushes For An End To The Price War When asked how long companies expected to remain solvent if WTI remained stuck below $40 per barrel, about 15 percent of respondents said they would be insolvent in less than 12 months, and another 25 percent said between one and two years.  In the special comment section, which allows oil executives to respond anonymously, the tone was dire. Here are a few select comments:  In fact, the topic of Russia and Saudi Arabia came up repeatedly as a source of trouble. Surprisingly, many executives downplayed the impact of the coronavirus, although perhaps that is because the survey was conducted before many of the more stringent stay-at-home orders went into effect.  There is a small strain of optimism from industry executives. Only about 15 percent of respondents see WTI staying below $35 per barrel by the end of 2020. Almost two-thirds of them see prices between $35 and $50. To be sure, even WTI in that range puts U.S. shale drillers in a financial bind, but the crisis would be not as severe as today. ",neg
The Permian Boom Is Going Bust.html,"Oil companies are already beginning to pare back their activity in the Permian, with cutbacks coming not just from smaller drillers, but also the oil majors.  Chevron said on Tuesday that it would cut capex this year by 20 percent, or $4 billion, with half of that cut concentrated on its Permian operations. “Given the decline in commodity prices, we are taking actions expected to preserve cash, support our balance sheet strength, lower short-term production, and preserve long-term value,” Chevron CEO Michael Wirth said in a statement. Lower spending will translate into the major’s Permian output ending the year 120,000 barrels per day lower than previously expected. “The flexibility of our capital program allows us to respond to these unexpected market conditions by deferring short-cycle investments and pacing projects not yet under construction,” Jay Johnson, Executive Vice President of Upstream, said. Chevron also said that it would suspend its share buyback program, but the spending cuts were aimed at defending its dividend. “Our focus is on protecting the dividend,” CFO Pierre Breber said. Prior to the announcement, Chevron needed oil prices at around $50 per barrel in order to finance its operations and cover its dividend, according to an estimate from Goldman Sachs. The oil major’s decision to slash spending is aimed at maintaining those shareholder payouts in a world of much lower pricing. The decision was couched as a temporary measure, with the company’s Permian project ramping up as soon as the pandemic and oil market bust blew over. “This is the fourth time in my career I’ve seen [crude] prices drop by more than 50% in a very short period of time,” Wirth told CNBC. “We’ve been here before, we know what to do, we’re taking action.”  Related: What Happens If U.S. Shale Goes Bust?

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


 But the language sounds rather optimistic, given the historic rout in global demand. Morgan Stanley said that U.S. GDP could contract by a whopping 30 percent in the second quarter. Federal Reserve Bank of St. Louis President James Bullard said that U.S. unemployment could reach 30 percent, a level not seen even during the Great Depression of the 1930s. The airline industry is preparing for a nationwide shutdown of virtually all passenger flights for a period of time. While everyone is hoping that the shutdown related to the global pandemic is temporary, there will almost certainly be lasting economic scars. More directly related to the oil industry, the piling up of oil inventories to unprecedented levels means that oil prices won’t simply return $50+ after the worst of the pandemic passes. “The only thing that will help the oil price long term is a lasting removal from the markets of overcapacities, which is already beginning now,” Commerzbank said in a report on Tuesday. “Be it state-owned oil companies, large international energy corporations or US shale oil companies, all of them will soon (have to) massively reduce their investments.” On Monday, S&P Ratings cut its outlook for Chevron’s credit to negative from stable. The Permian basin lost 13 rigs last week, but because there is typically a several-month lag between major price movements and changes in the rig count, the worst for the Permian lies ahead.  Schlumberger, the world’s largest oilfield services company, announced on Tuesday plans to cut spending by 30 percent this year. The company said that the U.S. rig count could fall below the 2016 nadir, when Permian rigs bottomed out below 150 (less than half of current levels) and total U.S. rigs fell to around 400, compared to 772 currently. In other words, the shale industry is set to scrap hundreds of rigs in the coming months, according to the world’s largest oilfield services company. Last week, Halliburton announced plans to furlough 3,500 workers.   Related: Cesium - The Most Important Metal You’ve Never Heard Of ExxonMobil has yet to reveal its revised spending program, but it too will likely cut spending. Exxon needs oil prices as high as $70 per barrel in order to finance its dividend and cover expenses. Its dividend yield is trading at around 10 percent, which many analysts see as unsustainable. Exxon has borrowed to cover its shareholder payouts, but it also just saw its credit rating cut. Something has to give, and Exxon will almost certainly feel compelled to follow in Chevron’s footsteps and slash its Permian operations. Reuters reports that Exxon’s large offshore gas drilling project and LNG export terminal in Mozambique could be delayed. Exxon’s East Africa campaign is one of just a handful of flagship projects worldwide for the major, along with offshore drilling in Guyana, LNG in Papua New Guinea, and, of course, fracking in the Permian and associated petrochemical projects on the Texas coast. The cuts from Chevron – and likely forthcoming cuts from Exxon – are a substantial climb down from just a few weeks ago. Both majors gave their annual Investor Day presentations just three weeks ago, in which they reiterated their aggressive drilling and production targets in the Permian. But everything has changed since then. With Brent in the $25 per barrel range, roughly 10 percent of global supply is uneconomic.",neutral
Worlds Largest Oil Trader Says Demand Could Plummet By 20 Million Bpd.html,"A dramatic change in oil demand coupled with an unexpected increase in production has upended the industry, Vitol’s chief executive Russell Hardy told Bloomberg in an interview. At its peak, oil demand could slump by 15 to 20 million bpd over the next few weeks. On an annual basis, Hardy said, this would contribute to a demand decline of 5 million bpd. “It’s pretty huge in terms of anything we’ve had to deal with before,” Vitol’s chief executive said. More bad news is coming, too. India’s Prime Minister Narendra Modi just ordered a nationwide lockdown in response to a spike in new coronavirus cases, which, hardy noted, will translate into a further decline in oil demand, and a substantial one, at that.

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


 Asked by Bloomberg about where oil prices will be going from here, Hardy noted that more oil and oil products were being churned out than the world can consume, so stockpiles in the U.S., Europe, and India will rise, with refineries cutting output. So far, he said, the cuts amount to about 7 million bpd. Even so, storage is filling up, especially for oil products. While there is some free capacity yet for crude oil, it will likely fill up fast, putting additional pressure on prices. Oil analytics firm OilX earlier this week calculated there are about 750 million barrels of crude in storage globally, with analysts expecting this to rise to as much as 1 billion barrels. While he declined to suggest a specific price for Brent and West Texas Intermediate, Vitol’s Hardy said that both benchmarks were likely to fall further over the next few weeks as countries on lockdown come to grips with the new remote-work reality that is taking a substantial chunk out of global oil demand. At the time of writing, Brent crude was trading at $28.84 a barrel, with WTI at $23.49 a barrel, both down from Tuesday’s close.",pos 
How Far Will Trump Go To Save US Shale.html,"The U.S. is today showing signs of increased desperation as oil prices sink to levels that may pose a threat to the energy independence of the United States by kicking U.S. shale out of the market. Several recent actions taken by the United States indicate that it may be attempting to change the current trajectory of the global oil market, including by showing interest in stepping up negotiations with Saudi Arabia, which is spearheading the ongoing market share war that is fostering ultra-low oil prices.  Drastic Times Call for Drastic Measures   The United States is facing a national emergency. The Covid-19 pandemic in the world’s largest oil consumer, The United States, has dented demand to the extent that a couple months ago, no one thought possible. The virus struck—first in the world’s largest oil importer, China--at a time when the oil markets were already concerned about a global oversupply. The virus also struck around the same time that another critical oil-market event took place: the end of the OPEC+ production cut agreement and the start of the oil price war—with Saudi Arabia on one side and Russia on the other. The result is that the U.S. shale industry, often touted as the backbone of the U.S. energy independence movement, has found itself caught in the middle between the oversupplied oil market and severely hampered oil demand. And it looks like the government is getting worried. Saudi Envoy On Monday evening, the U.S. made the decision to appoint Victoria Coates as special energy representative to Saudi Arabia. While the United States insists that this was in the works for quite some time, even before the oil war began, the timing coincides rather nicely with the shocking price drop for the US crude grade West Texas Intermediate, which is now trading around $23 per barrel, down from $60-something per barrel at the beginning of the year.  Related: The Boldest Permian Plays To Watch As The Oil Market Circles The Drain

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


 This $23 per barrel is not sustainable long term—perhaps not even short term—creating a sense of urgency in the United States to address the problem. And who better to address than the perceived perpetrator of the oil price war, Saudi Arabia. At the beginning of the oil price slide, the Trump Administration was singing the praises of the low oil prices. For consumers in the United States, lower oil prices mean an easing of cost of living expenses, freeing up money to spend on other things, and bolstering the economy in the process. This is all positive for consumers. But it became clear rather quickly that oil prices were sinking far too low to be sustainable for the oil industry, and for the economy. Low gasoline prices mean very little when people aren’t leaving their homes to drive anywhere, as is the case now for nearly half of all Americans, so the single benefit of low oil prices will not be realized. These stay-at-home restrictions and lack of call for gasoline are contributing to the lack of demand and helping to push prices even lower. The government has since shown signs of its panic—oil prices are too low, and something must give, and soon. That “something”, the U.S. hopes, will be Saudi Arabia. Enter Victoria Coates. When United States announced this week that it had appointed a new special energy envoy to Saudi Arabia, the Administration said it was “to ensure the Department of Energy has an added presence in the region.” Coates was a critical component of the negotiations with Iran and Trump’s Middle East policy creation during her time at the White House, which ended in February when she moved to the Department of Energy. The announcement comes about a week after President Trump, at a coronavirus briefing, said the U.S. would intervene in the oil war, stressing the U.S. had “a lot of power over the situation” and was “trying to find some kind of medium ground.”  Related: The Real Reason Oil Prices Crashed Despite the timing, the U.S. is not owning the fact that Coates’ new assignment and the oil price war have any noteworthy link. Lawmakers Out for Blood But the move comes after intense pressure from U.S. lawmakers and others in the industry in recent weeks, some of who have urged President Trump to take the extreme stance of embargoing Russian and Saudi Arabian oil. Other calls to action include the Texas Railroad Commission’s suggestion to use pro-rationing that would force Texas producers to curb production—something that is unthinkable in America. Mississippi Senator Roger Wicker and Oklahoma Senator Inhofe asked the Department of Commerce to slap a tariff on foreign oil, citing national security reasons. Other ideas include outright conspiring—albeit in a somewhat unofficial capacity—with Saudi Arabia to coordinate production. These rare developments and proposals all indicate one thing: the oil price war is hurting U.S. shale, and the government is worried. Energy security, energy dependence, and a significant portion of the economy are all riding on U.S. shale’s ability to outlast Saudi Arabia or Russia in the oil price war. And while U.S. shale was the one to show remarkable fortitude the last time Saudi Arabia tried to squeeze it out of the market, the coronavirus component this time around, combined with what many see as an unhealthy debt load, have led to some question whether U.S. shale has what it takes this time around.",pos 
What Happens If US Shale Goes Bust.html,"This month has seen a spectacular oil price crash the likes of which we haven't seen in decades. The last time we had since a single day oil price drop as drastic as Monday, March 9 was way back in 1991, when the U.S. launched airstrikes directed at the Iraqi military in response to the invasion of Kuwait. The price drop earlier this month was similarly staggering, with Brent benchmark global oil prices down by 22 percent and United States prices down by 20 percent.  This cataclysmic crash was caused by a perfect storm of market-spooking factors: the accelerating global spread of the COVID-19 coronavirus pandemic and the continuing oil price war being waged by Saudi Arabia after the OPEC+ alliance, which formed in 2016 to include Russia, imploded at the beginning of this month. The implosion itself was caused by coronavirus, as the plummeting oil demand caused by the industry- and economy-stalling pandemic led Russia and Saudi Arabia to initiate talks to address the issue, which subsequently led to bitter disagreement and an ultimate disbanding of the alliance and then an all-out price war.  The oil price war and subsequent crash have had devastating effects on U.S. shale, which was already struggling with diminishing profit margins. “Few U.S. shale firms can withstand prolonged oil price war,” Reuters proclaimed last week. “For the last five years, U.S. shale oil producers have been battling suppliers for lower costs and running equipment and crews hard to drive drilling costs down by about $20 a barrel,” the article reports. “The oil market rout last week, however, has left most shale firms facing prices below their costs of production.” Subsequent news out of the Permian Basin has been grim, with World Oil reporting this week that “Shale plays, oil patch see tens of thousands of layoffs across the industry.” According to analysis by Texas Railroad Commissioner Ryan Sitton, tens of thousands of oil industry workers are being laid off across Texas, and World Oil writes that “while workers in just about every industry are threatened by the economic slowdown, few are more at risk than those in the oil patch.”

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


  Related: Barclays Slashes Oil Price Forecast On Demand Shock This news is what is leading a lot of us to ask, what would happen if the U.S. shale industry goes bankrupt? This is exactly the question that Robert Rapier sets about answering in an opinion column for Forbes this week. “The real consequences of letting the U.S. shale industry fail is to hand global control of oil production back to Saudi Arabia. Millions of Americans will lose jobs, domestic oil production will fall, and our oil imports will soar. Saudi Arabia will then be free to once again withhold production to drive up the price.” While some shale companies in the U.S. will inevitably go bankrupt in the coming months, if too much of the industry fails it could have a lasting negative impact on the United States’ national security. Ultimately, he argues, letting U.S. oil collapse is far too risky in the short term, even if moving away from fossil fuels is, ultimately, a net good. “Look, you may think the U.S. oil industry deserves to go bankrupt. You may believe we should all be driving around in wind-powered electric vehicles or riding bicycles. But that’s not the world we live in today,” he writes. “Should we use less oil? Yes. And we will over time. But right now the U.S. still uses a lot of oil, and we will continue to do so for several years, even as we transition to electric vehicles.” On the other hand, as oil is proving to be an increasingly volatile sector, and even Saudi Aramco is talking about peak oil by mid-century, isn’t it high time to let go? As climate action increases, the Financial Times warning that this oil crash is “only a foretaste of what awaits energy industry,” maybe it’s time to read the writing on the wall and more seriously divest from oil in favor of creating jobs and infrastructure in more progressive and forward-leaning energy sectors.",neg
This Supermajor Is About To Slash Permian Oil Production.html,"Chevron is slashing capital expenditures, especially in the Permian, and is suspending its share buyback program, the U.S. supermajor said on Tuesday. It is the latest oil major to slash billions of capital expenditures as oil prices plummet to below breakeven levels.  Chevron is axing its 2020 capital spending plan by $4 billion, or by 20 percent, to $16 billion, to protect its dividend and balance sheet in one of the worst oil price routs in recent memory.   Of the $4-billion CAPEX cut, $2 billion will be slashed across upstream unconventionals, primarily in the Permian Basin. Another $700 million will be cut from upstream projects and exploration, $500 million from upstream base business across U.S. and international assets, and $800 million from the downstream & chemicals sector.   The supermajor also suspended its $5 billion annual share repurchase program after repurchasing $1.75 billion of shares in Q1. 

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


 Chevron’s Permian production, on which both Chevron and Exxon bet big last year, is expected to be about 125,000 barrels of oil equivalent per day, or 20 percent, below the previous guidance, Chevron said today. “Given the decline in commodity prices, we are taking actions expected to preserve cash, support our balance sheet strength, lower short-term production, and preserve long-term value,” Chevron’s Chairman and CEO Michael Wirth said in a statement.  Chevron’s Chief Financial Officer Pierre Breber said: “Our focus is on protecting the dividend, prioritizing capital that drives long-term value, and supporting the balance sheet.”  With CAPEX cuts and share buyback suspension, Chevron joins other major oil firms that have announced spending reductions in recent days after oil prices crashed on the coronavirus-hit demand shock and price-war-driven supply shock.   ExxonMobil said last week it was looking to “significantly reduce spending as a result of market conditions caused by the COVID-19 pandemic and commodity price decreases.” Shell and Total announced on Monday reductions in capital expenditures and suspension of their respective share buyback programs. ",neg
Saudi Arabia And The US Could Form The Worlds Newest Oil Cartel.html,"The United States and Saudi Arabia have been discussing the idea of setting up an oil accord, Bloomberg reports, citing Energy Secretary Dan Brouillette. Such an agreement would effectively amount to a cartel, which, by definition, is a group of independent market participants agreeing to act together to influence the market in a way favorable to them. For now, however, this is just an idea that some officials in the Trump administration support. The chance of it becoming anything more is unclear, according to Brouillette. “There are many, many ideas that are floated around the policy space, that is one of them,” the U.S. Energy Secretary told Bloomberg in an interview. 

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


 “I don’t know that it is going to be presented in any formal way.” The U.S. oil industry has suffered a heavy blow from the combination of the coronavirus outbreak and the price war that Saudi Arabia started after Russia refused to cooperate on deeper production cuts. Producers are slashing spending plans, suspending share buybacks, and some have already asked oilfield service providers for substantial discounts to their services. West Texas Intermediate, the U.S. benchmark, has shed about 60 percent of its value since the start of the year.  According to Reuters’ John Kemp, it has further to fall unless the economic outlook for the country—and the world—improves sharply and quickly. This outlook is not good news for either the shale industry or the supermajors in the U.S., which makes the administration’s moves concerning Saudi Arabia only logical. But nothing is certain yet. “As part of the public policy process, if you will, our interagency partners often get together and talk about a number of different items, but we’ve made no decision on this,” Brouillette told Bloomberg. “At some point we will engage in a diplomatic effort down the road. But no decisions have made on anything of that nature.”",neutral
Not Even China Can Save Oil Markets This Time Around.html,"Despite still sluggish oil demand, China is expected to continue to build its strategic and commercial crude oil reserves with ultra-cheap oil, but this time around the rate of filling storage would be lower than in previous years, lending less support to oil prices in the current double demand-supply shock, Wood Mackenzie said on Monday.    China will continue to import crude oil for its commercial and strategic reserves, at a pace of up to 300,000 bpd between March and December this year, Wood Mackenzie senior consultant Lei Sun said in a statement. This rate of filling reserves, however, is less than half of the fill rate of the previous two years, therefore, Chinese stockpiling on the cheapest oil in years may not be as supportive to oil prices as it was in the past, Sun said. The key reason—limits to storage capacity, which is expected to reach a utilization rate of 90 percent this year, according to WoodMac’s expert.

googletag.cmd.push(function(){googletag.display('div-gpt-ad-1555424664620-0');});


 China could build a crude oil reserve of commercial and strategic stocks of as much as 1.15 billion barrels in 2020, equivalent to 83 days of oil demand, Wood Mackenzie’ analysis showed on Monday. China’s crude oil imports for refining and storage are seen at 9.5 million bpd this year, down by around 5 percent compared to the 10-million-bpd of imports last year. One reason is the filling capacity for storing crude, and the other is the still tepid fuel demand, with Chinese refinery runs expected to be lower this year compared to last year. “Weak demand and disruption caused by COVID-19 have caused China's crude runs to drop by 3.1 million b/d in February this year, leading to storage inventory build-up,” WoodMac said. Strained storage capacity could further weigh on already depressed oil prices. Global oil storage may soon be filled up, analysts warned last week, saying that at $20 a barrel, we may have not seen the bottom of oil prices yet. If storage overflows, oil may drop to $10 per barrel.",pos 
